id,label,desc,id_no_prefix
148,Squad Assignment,Functional squad assignment (not budget) of the officer as reported by the Data Analytics Platform (DAP).,SquadAssignment
149,Arrest Made,"Indicator of whether a ""physical arrest"" was made, of the subject, during the Terry Stop. Does not necessarily reflect a report of an arrest in the Records Management System (RMS).",ArrestMade
150,Frisk Conducted,"Indicator of whether a ""frisk"" was conducted, by the officer, of the subject, during the Terry Stop.",FriskConducted
151,Precinct,Precinct of the address associated with the underlying Computer Aided Dispatch (CAD) event. Not necessarily where the Terry Stop occurred.,Precinct
152,Sector,Sector of the address associated with the underlying Computer Aided Dispatch (CAD) event. Not necessarily where the Terry Stop occurred.,Sector
153,Beat,Beat of the address associated with the underlying Computer Aided Dispatch (CAD) event. Not necessarily where the Terry Stop occurred.,Beat
154,Ticker,"An arrangement of characters, often related to the company name representing publicly-traded securities on an exchange.",Ticker
155,Trade Category,Categories for a stock under which trading can be done. EQ stands for equity and only permits intra-day transactions and equity delivery.,TradeCategory
156,Announcement Date,"The date on which a company announces important details about a decision that has a high impact on business, or the company's share holders.",AnnouncementDate
157,Announcement Details,"Important details about a decision that has a high impact on business, or the company's share holders announced by the company.",AnnouncementDetails
158,Open Price,The price of a security at the beginning of the trading day.,OpenPrice
159,High Price,The maximum price of a security in a given time period.,HighPrice
160,Low Price,The minimum price of a security in a given time period.,LowPrice
161,Last Trade Price,The last price that a trade occurred in a futures contract.,LastTradePrice
162,Previous Close,A security's closing price on the preceding time period of the one being referenced.,PreviousClose
163,Price Change,The absolute percentage price change of the security's price since the previous day's close.,PriceChange
164,Volume Traded,The total number of shares or contracts transacted for a specified security during a specified time period.,VolumeTraded
165,Market Activity,"How much trading activity took place on a given business day in the market as a whole or individual stock, in lakhs.",MarketActivity
166,Retrieval Time,Time of retrieval in DD-MM-YYYY HH:MM:SS.,RetrievalTime
167,Diabetes Status,0 = no diabetes 1 = prediabetes 2 = diabetes,DiabetesStatus
168,High BP Status,0 = no high BP 1 = high BP,HighBPStatus
169,High Cholesterol Status,0 = no high cholesterol 1 = high cholesterol,HighCholesterolStatus
170,Cholesterol Check,0 = no cholesterol check in 5 years 1 = yes cholesterol check in 5 years,CholesterolCheck
171,BMI,Body Mass Index,BMI
172,Smoking History,Have you smoked at least 100 cigarettes in your entire life? [Note: 5 packs = 100 cigarettes] 0 = no 1 = yes,SmokingHistory
173,Stroke History,(Ever told) you had a stroke. 0 = no 1 = yes,StrokeHistory
174,CHD/MI History,coronary heart disease (CHD) or myocardial infarction (MI) 0 = no 1 = yes,CHD/MIHistory
175,Physical Activity,physical activity in past 30 days - not including job 0 = no 1 = yes,PhysicalActivity
176,Fruit Consumption,Consume Fruit 1 or more times per day 0 = no 1 = yes,FruitConsumption
177,Vegetable Consumption,Consume Vegetables 1 or more times per day 0 = no 1 = yes,VegetableConsumption
178,Heavy Drinker,Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) 0 = no 1 = yes,HeavyDrinker
179,Health Care Coverage,"Have any kind of health care coverage, including health insurance, prepaid plans such as HMO, etc. 0 = no 1 = yes",HealthCareCoverage
180,Unaffordable Doctor Visit,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost? 0 = no 1 = yes,UnaffordableDoctorVisit
181,Self-Reported Health,Would you say that in general your health is: scale 1-5 1 = excellent 2 = very good 3 = good 4 = fair 5 = poor,Self-ReportedHealth
182,Mental Health Days,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good? scale 1-30 days",MentalHealthDays
183,Physical Health Days,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good? scale 1-30 days",PhysicalHealthDays
184,Walking Difficulty,Do you have serious difficulty walking or climbing stairs? 0 = no 1 = yes,WalkingDifficulty
185,Gender,0 = female 1 = male,Gender1
186,Age Category,13-level age category (_AGEG5YR see codebook) 1 = 18-24 9 = 60-64 13 = 80 or older,AgeCategory
187,Education Level,Education level (EDUCA see codebook) scale 1-6 1 = Never attended school or only kindergarten 2 = Grades 1 through 8 (Elementary) 3 = Grades 9 through 11 (Some high school) 4 = Grade 12 or GED (High school graduate) 5 = College 1 year to 3 years (Some college or technical school) 6 = College 4 years or more (College graduate),EducationLevel
188,Income Level,"Income scale (INCOME2 see codebook) scale 1-8 1 = less than $10,000 5 = less than $35,000 8 = $75,000 or more",IncomeLevel
189,Heavy Drinker (Alt),(adult men >=14 drinks per week and adult women>=7 drinks per week) 0 = no 1 = yes,HeavyDrinker(Alt)
190,Poor Mental Health Days,days of poor mental health scale 1-30 days,PoorMentalHealthDays
191,Physical Illness Days,physical illness or injury days in past 30 days scale 1-30,PhysicalIllnessDays
192,Education Level (Alt),Education level (EDUCA see codebook) scale 1-6 1 = Never attended school or only kindergarten 2 = elementary etc.,EducationLevel(Alt)
193,Rank,Ranking of movie,Rank1
194,Year,IMDB Top 250 List's year,Year
195,IMDB URL,movie's url on IMDB,IMDBURL
196,Title,title of movie,Title
197,Release Year,release year of movie,ReleaseYear
198,Runtime,total runtime of movie (in movies),Runtime
199,Genres,genres of movie,Genres
200,IMDB Score,IMDB score of movie,IMDBScore
201,Metascore,Metascore score of movie,Metascore
202,Votes,total votes on IMDB for movie,Votes
203,Gross,total gross of movie (Million Dollar),Gross
204,Director,director of movie,Director
205,Performer 1,performer 1 for movie,Performer1
206,Performer 2,performer 2 for movie,Performer2
207,Performer 3,performer 3 for movie,Performer3
208,Performer 4,performer 4 for movie,Performer4
209,Activity Type,"Type of activity investigated by the case (Housing/Zoning case, Unfit Buildings, etc.)",ActivityType1
210,Address,Street address of the case investigation.,Address1
211,Scope,A brief description of the proposed scope for the case.,Scope
212,Case Sub-Type,"The sub-type of the Case. For example, a “HOUSING” type of CITATION, etc.",CaseSub-Type
213,Open Date,"The date that the case was opened. (This date may have been preceded by inspections on an allegation, with the case opened only after determining that a violation exists).",OpenDate
214,Last Inspection Date,The date of the last Compliance inspection so far.,LastInspectionDate
215,Last Inspection Result,The result of the last Compliance inspection so far. Note that a “Failed” inspection may result when even a single item is not yet in compliance,LastInspectionResult
216,Compliance Status,"Indicates the type of compliance achieved, or the final outcome of the case. “Open” indicates that work is still in progress to achieve compliance.",ComplianceStatus
217,Latitude,Latitude of the address where the case is being investigated.,Latitude2
218,Longitude,Longitude of the address where the case is being investigated.,Longitude2
219,Coordinates,Mapping coordinates of the address where the case is being investigated.,Coordinates
220,Movie,Name of Movie,Movie
221,Year,Year Movie was released,Year1
222,Duration,Time duration of Movie in minutes,Duration
223,Genre,Different Genre of Movies,Genre
224,Rating,Rating given to Movie,Rating
225,Votes,Votes given to Movie,Votes1
226,Director,Director of the Movie,Director1
227,Actor 1,Main Actor of Movie,Actor1
228,Actor 2,Second Main Actor of Movie,Actor2
229,Actor 3,Third Main Actor of Movie,Actor3
230,County/LDSS,Applicable county or Local District for Social Services (LDSS) in New York State. St. Regis Mohawk is a considered a LDSS and is reported as a separate county for this purpose.,County/LDSS
231,Reporting Year,Reporting year for foster care activity.,ReportingYear
232,Adoptive Home Days,This is the total number of care days provided for children in an adoptive home. Adoptive homes include adoptive and/or adoption subsidized homes.,AdoptiveHomeDays
233,Agency Boarding Home Days,This is the total number of care days provided for children in foster care residing in an Agency Operated Boarding Home.,AgencyBoardingHomeDays
234,Relative Foster Home Days,This is the total number of care days provided for children in foster care residing with a relative. The relative has been approved as a foster parent.,RelativeFosterHomeDays
235,Non-Relative Foster Home Days,This is the total number of care days provided for children in foster care residing in a regular non-relative foster home.,Non-RelativeFosterHomeDays
236,Congregate Care Home Days,This is the total number of care days provided for children in foster care residing in a Congregate Care home.,CongregateCareHomeDays
237,Group Residence Days,This is the total number of care days provided for children in foster care residing in a group residence. These are also considered congregate care for youth.,GroupResidenceDays
238,Institution Days,This is the total number of care days provided for children in foster care residing in an Institution. This facility type is a larger facility for congregate care.,InstitutionDays
239,Independent Living Days,"This is the total number of care days provided for children in foster care, but living on their own. These young adults have been approved by OCFS to live on their own.",IndependentLivingDays
240,Residential Treatment Days,"This is the total number of care days provided for children in foster care residing in residential treatment facilities, skilled nursing facilities, specialized schools, etc.",ResidentialTreatmentDays
241,Total Facility Days,This is the total number of care days provided for children in foster care residing in all facility types.,TotalFacilityDays
242,Admissions,Total children admitted to foster care in the calendar year.,Admissions
243,Discharges,Total number of children discharged from care during the calendar year.,Discharges
244,Point in Time,Total number of children in Foster Care on December 31 of the calendar year. This is point in time data.,PointinTime
245,Children Served,"Total number of children served during the year. This includes children that were admitted in previous years as well as those admitted during the given year. As a result, this is usually higher than both admissions and point in time in care.",ChildrenServed
246,CPS Reports Indicated,This is the total number of Child Protective Services (CPS) reports that are indicated for abuse/maltreatment during a calendar year.,CPSReportsIndicated
247,Age,Patient's Age in years (Numeric),Age1
248,Gender,Patient's Gender Male as 1 Female as 0 (Nominal),Gender2
249,Chest Pain,"Type of chest pain categorized into 1 typical, 2 typical angina, 3 non-anginal pain, 4 asymptomatic (Categorical)",ChestPain
250,Resting BP,Level of blood pressure at resting mode in mm/HG (Numerical),RestingBP
251,Cholesterol,Serum cholestrol in mg/dl (Numeric),Cholesterol
252,Fasting BS,Blood sugar levels on fasting > 120 mg/dl represents as 1 in case of true and 0 as false,FastingBS
253,ECG,result of electrocardiogram while at rest are represented in 3 distinct values 0 : Normal 1: Abnormality in ST-T wave 2: Left ventricular hypertrophy,ECG
254,Max HR,Maximum heart rate achieved (Numeric),MaxHR
255,Angina,Angina induced by exercise 0 depicting NO 1 depicting Yes (Nominal),Angina
256,ST Depression,Exercise induced ST-depression in comparison with the state of rest (Numeric),STDepression
257,ST Slope,ST segment measured in terms of slope during peak exercise 0: Normal 1: Upsloping 2: Flat 3: Downsloping,STSlope
258,Heart Risk,Heart Risk 1 means heart disease 0 means normal,HeartRisk
259,Date,Date of observation,Date
260,Country Code,Three-character ISO 3166-1 country code,CountryCode
261,Currency Code,Three-character ISO 4217 currency code,CurrencyCode
262,Country,Country name,Country
263,Local Price,Price of a Big Mac in the local currency,LocalPrice
264,Currency per USD,Local currency units per dollar,CurrencyperUSD
265,USD Price,Price of a Big Mac in dollars,USDPrice
266,Raw Index USD,"Raw index, relative to the US dollar",RawIndexUSD
267,Raw Index EUR,"Raw index, relative to the Euro",RawIndexEUR
268,Raw Index GBP,"Raw index, relative to the British pound",RawIndexGBP
269,Raw Index JPY,"Raw index, relative to the Japanese yen",RawIndexJPY
270,Raw Index CNY,"Raw index, relative to the Chinese yuan",RawIndexCNY
271,GDP per Person,"GDP per person, in dollars",GDPperPerson
272,GDP-Adj Price,"GDP-adjusted price of a Big Mac, in dollars",GDP-AdjPrice
273,Adj Index USD,"Adjusted index, relative to the US dollar",AdjIndexUSD
274,Adj Index EUR,"Adjusted index, relative to the Euro",AdjIndexEUR
275,Adj Index GBP,"Adjusted index, relative to the British pound",AdjIndexGBP
276,Adj Index JPY,"Adjusted index, relative to the Japanese yen",AdjIndexJPY
277,Adj Index CNY,"Adjusted index, relative to the Chinese yuan",AdjIndexCNY
278,Anime ID,Anime Planet ID of the anime. (e.g. 1).,AnimeID
279,Anime Name,full name of the anime. (e.g. FLCL),AnimeName
280,Alternate Name,another way to call the anime. (e.g. Furi Kuri),AlternateName
281,Average Score,average score of the anime given from all users in Anime Planet database. (e.g. 8.78),AverageScore
282,Score Count,number of users who give a score to the anime. (e.g. 1241),ScoreCount
283,Tags,"comma separated list of tags for this anime. (e.g. Comedy, Mecha, Sci Fi, Outer Space, Original Work)",Tags
284,Content Warnings,"comma separated list of content warning tags. (e.g. Explicit Violence, Mature Themes, Nudity)",ContentWarnings
285,Type,"TV, movie, OVA, etc. (e.g. TV).",Type
286,Chapter Count,number of chapters. (e.g. 26),ChapterCount
287,Finished,True if the anime finished when I did the data scraping. False is the anime is on going in that moment.,Finished
288,Duration,duration of the anime in minutes (e.g 60),Duration1
289,Start Year,year when the anime start the transmission. (e.g. 2016),StartYear
290,End Year,year when the anime finish the transmission. (e.g. 2017),EndYear
291,Release Season,season and year of release (e.g. Fall 2000),ReleaseSeason
292,Studios,comma separated list of studios (e.g. Sunrise),Studios
293,Synopsis,synopsis of the anime,Synopsis
294,Anime URL,url to the main page of anime in Anime Planet (e.g. https://www.anime-planet.com/anime/vandread),AnimeURL
295,Recommended Anime ID,Anime Planet ID of the recommended anime. (e.g. 1).,RecommendedAnimeID
296,Recommendation Agreement,number of users that was agreed with the recommendation.,RecommendationAgreement
297,User ID,non identifiable randomly generated user id.,UserID
298,Anime ID,Anime-planet ID of the anime.,AnimeID1
299,User Score,score between 1 to 5 given by the user in scale of 0.5. 0 if the user didn't assign a score.,UserScore
300,State ID,state ID from this anime in the anime list of this user.,StateID
301,Episodes Watched,numbers of episodes watched by the user.,EpisodesWatched
302,Rated Anime ID,Anime-planet ID of the anime that this user has rated.,RatedAnimeID
303,User Rating,rating that this user has assigned.,UserRating
304,Status ID,ID of the status,StatusID
305,Status Description,description of the status,StatusDescription
306,Location,Location where crime was reported.,Location1
307,Year,Year the crime incident was reported.,Year2
308,County Population,County population estimates provided by the FBI.,CountyPopulation
309,Total Crimes,"Sum of the reported crimes: Murder, Rape, Robbery, Aggravated Assault, Burglary, Larceny and Motor Vehicle Theft",TotalCrimes
310,Crime Rate,"Index Crimes reported per 100,000 population.",CrimeRate
311,Violent Crimes,"Sum of the reported crimes: Murder, Rape, Robbery and Aggravated Assault.",ViolentCrimes
312,Violent Crime Rate,"Violent Crimes reported per 100,000 population.",ViolentCrimeRate
313,Property Crimes,"Sum of the reported crimes: Burglary, Larceny and Motor Vehicle Theft.",PropertyCrimes
314,Property Crime Rate,"Property crimes reported per 100,000 population.",PropertyCrimeRate
315,Firearm Crimes,Count of violent crimes committed with a firearm.,FirearmCrimes
316,Firearm Crime Rate,"Firearm crimes reported per 100,000 population.",FirearmCrimeRate
317,Pokémon,Name of the Pokemon,Pokémon
318,Dex #,The Pokemon's Pokedex Number,Dex#
319,Norm. Dam.,Damage Multiplier for Normal Types (attacks against the Pokemon),Norm.Dam.
320,Fire Dam.,Damage Multiplier for Fire Types,FireDam.
321,Water Dam.,Damage Multiplier for Water Types,WaterDam.
322,Elec. Dam.,Damage Multiplier for Electric Types,Elec.Dam.
323,Grass Dam.,Damage Multiplier for Grass Types,GrassDam.
324,Ice Dam.,Damage Multiplier for Ice Types,IceDam.
325,Fight Dam.,Damage Multiplier for Fighting Types,FightDam.
326,Poison Dam.,Damage Multiplier for Poison Types,PoisonDam.
327,Ground Dam.,Damage Multiplier for Ground Types,GroundDam.
328,Fly. Dam.,Damage Multiplier for Flying Types,Fly.Dam.
329,Psychic Dam.,Damage Multiplier for Psychic Types,PsychicDam.
330,Bug Dam.,Damage Multiplier for Bug Types,BugDam.
331,Rock Dam.,Damage Multiplier for Rock Types,RockDam.
332,Ghost Dam.,Damage Multiplier for Ghost Types,GhostDam.
333,Dragon Dam.,Damage Multiplier for Dragon Types,DragonDam.
334,Dark Dam.,Damage Multiplier for Dark Types,DarkDam.
335,Steel Dam.,Damage Multiplier for Steel Types,SteelDam.
336,Fairy Dam.,Damage Multiplier for Fairy Types,FairyDam.
337,Map Name,Names of the maps,MapName
338,Total Bans,Total number of bans on a map,TotalBans
339,Day 1 Bans,Bans on the map on day 1 of the tournament,Day1Bans
340,Day 2 Bans,Bans on the map on day 2 of the tournament,Day2Bans
341,Day 3 Bans,Bans on the map on day 3 of the tournament,Day3Bans
342,Day 4 Bans,Bans on the map on day 4 of the tournament,Day4Bans
343,Day 5 Bans,Bans on the map on day 5 of the tournament,Day5Bans
344,Day 6 Bans,Bans on the map on day 6 of the tournament,Day6Bans
345,Day 7 Bans,Bans on the map on day 7 of the tournament,Day7Bans
346,Total Picks,Total number of times a map was chosen,TotalPicks
347,Day 1 Picks,Number of times a map was picked on day 1,Day1Picks
348,Day 2 Picks,Number of times a map was picked on day 2,Day2Picks
349,Day 3 Picks,Number of times a map was picked on day 3,Day3Picks
350,Day 4 Picks,Number of times a map was picked on day 4,Day4Picks
351,Day 5 Picks,Number of times a map was picked on day 5,Day5Picks
352,Day 6 Picks,Number of times a map was picked on day 6,Day6Picks
353,Day 7 Picks,Number of times a map was picked on day 7,Day7Picks
354,Player,Name of the player.,Player
355,Country,The country where the player belongs to.,Country1
356,Team,The team which the player represents.,Team
357,Agents Used,All the agents used by each player in the tournament.,AgentsUsed
358,Maps Played,Number of times the maps were played (with repetition).,MapsPlayed
359,Kills,Number of kills.,Kills
360,Deaths,Number of deaths.,Deaths
361,Assists,Number of assists.,Assists
362,K/D Ratio,Kill/Death ratio,K/DRatio
363,KD+A Ratio,(Kills+(Assists/2))/Deaths ratio,KD+ARatio
364,ACS/Map,Average Combat Score/Map ratio.,ACS/Map
365,Kills/Map,Kills/Map ratio.,Kills/Map
366,Deaths/Map,Deaths/Map ratio.,Deaths/Map
367,Assists/Map,Assists/Map ratio.,Assists/Map
368,Map Name,Names of the maps.,MapName1
369,Attacking Wins,Number of rounds won in the Attacking phase,AttackingWins
370,Defending Wins,Number of rounds won in the Defending phase,DefendingWins
