id,label,desc,id_no_prefix,domain,range
http://dbpedia.org/ontology/institution,institution,institution,institution,,Organisation
http://dbpedia.org/ontology/lake,vastest lake,vastest lake,lake,Place,BodyOfWater
http://dbpedia.org/ontology/languageFamily,family,family,languageFamily,Language,
http://dbpedia.org/ontology/lastAppearance,last appearance,last appearance,lastAppearance,FictionalCharacter,
http://dbpedia.org/ontology/mainOrgan,main organ,main organ,mainOrgan,Organisation,
http://dbpedia.org/ontology/managerClub,manager club,manager club,managerClub,Athlete,SportsTeam
http://dbpedia.org/ontology/militaryService,military service,military service,militaryService,Person,MilitaryService
http://dbpedia.org/ontology/minister,minister,minister,minister,,Politician
http://dbpedia.org/ontology/mother,mother,mother,mother,Woman,Person
http://dbpedia.org/ontology/mouthMountain,mouth mountain,mouth mountain,mouthMountain,River,Mountain
http://dbpedia.org/ontology/mouthPlace,mouth place,mouth place,mouthPlace,River,PopulatedPlace
http://dbpedia.org/ontology/notableIdea,notableIdea,notableIdea,notableIdea,Person,
http://dbpedia.org/ontology/notableStudent,notable student,notable student,notableStudent,Scientist,Person
http://dbpedia.org/ontology/part,part,part,part,,
http://dbpedia.org/ontology/partner,partner,partner,partner,Person,Person
http://dbpedia.org/ontology/personFunction,person function,person function,personFunction,Person,PersonFunction
http://dbpedia.org/ontology/photographer,photographer,photographer,photographer,TelevisionEpisode,Person
http://dbpedia.org/ontology/pictureFormat,picture format,picture format,pictureFormat,Broadcaster,
http://dbpedia.org/ontology/portrayer,portrayer,portrayer,portrayer,FictionalCharacter,
http://dbpedia.org/ontology/primaryFuelType,primary fuel type,primary fuel type,primaryFuelType,PowerStation,
http://dbpedia.org/ontology/profession,profession,profession,profession,Person,
http://dbpedia.org/ontology/race,race,race,race,,Race
http://dbpedia.org/ontology/railwayRollingStock,railway rolling stock,railway rolling stock,railwayRollingStock,RouteOfTransportation,
http://dbpedia.org/ontology/relation,relation,relation,relation,Person,Person
http://dbpedia.org/ontology/rivalSchool,rival,rival,rivalSchool,School,School
http://dbpedia.org/ontology/river,river,river,river,Place,River
http://dbpedia.org/ontology/riverMouth,river mouth,river mouth,riverMouth,River,BodyOfWater
http://dbpedia.org/ontology/secretaryGeneral,secretary,secretary,secretaryGeneral,Organisation,Person
http://dbpedia.org/ontology/significantBuilding,significant building,significant building,significantBuilding,Architect,Building
http://dbpedia.org/ontology/sire,sire,sire,sire,Animal,Animal
http://dbpedia.org/ontology/sisterNewspaper,sister newspaper,sister newspaper,sisterNewspaper,Newspaper,Newspaper
http://dbpedia.org/ontology/species,species,species,species,Species,Species
http://dbpedia.org/ontology/sport,sport,sport,sport,,Sport
http://dbpedia.org/ontology/sportGoverningBody,sport governing body,sport governing body,sportGoverningBody,,
http://dbpedia.org/ontology/targetAirport,target airport,target airport,targetAirport,Airline,Airport
http://dbpedia.org/ontology/trainer,trainer,trainer,trainer,Athlete,Person
http://dbpedia.org/ontology/administrativeCenter,administrative center,administrative center,administrativeCenter,AdministrativeRegion,Place
http://dbpedia.org/ontology/administrativeDistrict,administrative district,administrative district,administrativeDistrict,Settlement,PopulatedPlace
http://dbpedia.org/ontology/agency,agency,agency,agency,Person,
http://dbpedia.org/ontology/alliance,alliance,alliance,alliance,Airline,
http://dbpedia.org/ontology/alumni,alumni,alumni,alumni,EducationalInstitution,Person
http://dbpedia.org/ontology/archipelago,archipelago,archipelago,archipelago,Island,
http://dbpedia.org/ontology/areaOfSearch,area of search,area of search,areaOfSearch,SiteOfSpecialScientificInterest,PopulatedPlace
http://dbpedia.org/ontology/arrondissement,arrondissement,arrondissement,arrondissement,PopulatedPlace,PopulatedPlace
http://dbpedia.org/ontology/associationOfLocalGovernment,association of local government,association of local government,associationOfLocalGovernment,Settlement,PopulatedPlace
http://dbpedia.org/ontology/beltwayCity,beltway city,beltway city,beltwayCity,Road,City
http://dbpedia.org/ontology/blockAlloy,block alloy,block alloy,blockAlloy,AutomobileEngine,
http://dbpedia.org/ontology/canton,canton,canton,canton,Settlement,Settlement
http://dbpedia.org/ontology/chairperson,chairperson,chairperson,chairperson,Organisation,Person
http://dbpedia.org/ontology/chancellor,chancellor,chancellor,chancellor,,Person
http://dbpedia.org/ontology/chiefEditor,chief editor,chief editor,chiefEditor,Work,Person
http://dbpedia.org/ontology/choreographer,choreographer,choreographer,choreographer,FigureSkater,Person
http://dbpedia.org/ontology/club,club,club,club,Athlete,SportsTeam
http://dbpedia.org/ontology/coolingSystem,cooling system,cooling system,coolingSystem,AutomobileEngine,
http://dbpedia.org/ontology/countryOrigin,country origin,country origin,countryOrigin,Rocket,Country
http://dbpedia.org/ontology/currentPartner,current partner,current partner,currentPartner,FigureSkater,Person
http://dbpedia.org/ontology/destination,destination,destination,destination,PublicTransitSystem,PopulatedPlace
http://dbpedia.org/ontology/europeanParliamentGroup,european parliament group,european parliament group,europeanParliamentGroup,PoliticalParty,
http://dbpedia.org/ontology/federalState,federal state,federal state,federalState,Settlement,PopulatedPlace
http://dbpedia.org/ontology/formerCoach,former coach,former coach,formerCoach,FigureSkater,Person
http://dbpedia.org/ontology/formerPartner,former partner,former partner,formerPartner,FigureSkater,Person
http://dbpedia.org/ontology/governorGeneral,governor general,governor general,governorGeneral,,Person
http://dbpedia.org/ontology/head,head,head,head,EducationalInstitution,Person
http://dbpedia.org/ontology/headAlloy,head alloy,head alloy,headAlloy,AutomobileEngine,
http://dbpedia.org/ontology/homeport,homeport,homeport,homeport,Ship,Place
http://dbpedia.org/ontology/inflow,inflow,inflow,inflow,BodyOfWater,BodyOfWater
http://dbpedia.org/ontology/intercommunality,intercommunality,intercommunality,intercommunality,,PopulatedPlace
http://dbpedia.org/ontology/internationalAffiliation,international affiliation,international affiliation,internationalAffiliation,PoliticalParty,
http://dbpedia.org/ontology/launchSite,launch site,launch site,launchSite,SpaceMission,Building
http://dbpedia.org/ontology/leaderName,leader name,leader name,leaderName,PopulatedPlace,Person
http://dbpedia.org/ontology/leaderParty,leader party,leader party,leaderParty,PopulatedPlace,
http://dbpedia.org/ontology/lieutenant,lieutenant,lieutenant,lieutenant,,Person
http://dbpedia.org/ontology/lowestPlace,lowest place,lowest place,lowestPlace,Place,PopulatedPlace
http://dbpedia.org/ontology/management,management,management,management,,
http://dbpedia.org/ontology/manufactory,manufactory,manufactory,manufactory,,Factory
http://dbpedia.org/ontology/mayor,mayor,mayor,mayor,,Mayor
http://dbpedia.org/ontology/medicalCause,medical cause,medical cause,medicalCause,Disease,
http://dbpedia.org/ontology/medication,medication,medication,medication,Disease,
http://dbpedia.org/ontology/musicSubgenre,music subgenre,music subgenre,musicSubgenre,MusicGenre,MusicGenre
http://dbpedia.org/ontology/nationalTeam,national team,national team,nationalTeam,Athlete,SportsTeam
http://dbpedia.org/ontology/neighboringMunicipality,neighboring municipality,neighboring municipality,neighboringMunicipality,PopulatedPlace,PopulatedPlace
http://dbpedia.org/ontology/oilSystem,oil system,oil system,oilSystem,AutomobileEngine,
http://dbpedia.org/ontology/outflow,outflow,outflow,outflow,BodyOfWater,River
http://dbpedia.org/ontology/prospectLeague,prospect league,prospect league,prospectLeague,IceHockeyPlayer,SportsLeague
http://dbpedia.org/ontology/prospectTeam,prospect team,prospect team,prospectTeam,IceHockeyPlayer,HockeyTeam
http://dbpedia.org/ontology/provost,provost,provost,provost,University,Person
http://dbpedia.org/ontology/raceHorse,race horse,race horse,raceHorse,,Horse
http://dbpedia.org/ontology/rector,rector,rector,rector,EducationalInstitution,Person
http://dbpedia.org/ontology/schoolBoard,school board,school board,schoolBoard,School,
http://dbpedia.org/ontology/significantDesign,significant design,significant design,significantDesign,Architect,
http://dbpedia.org/ontology/symptom,symptoms,symptoms,symptom,Disease,
http://dbpedia.org/ontology/televisionSeries,television series,television series,televisionSeries,,TelevisionShow
http://dbpedia.org/ontology/topLevelDomain,country top level (tld),country top level (tld),topLevelDomain,Country,TopLevelDomain
http://dbpedia.org/ontology/training,training,training,training,Artist,EducationalInstitution
http://dbpedia.org/ontology/treatment,treatment,treatment,treatment,Disease,
http://dbpedia.org/ontology/twinTown,twin city,twin city,twinTown,Settlement,Settlement
http://dbpedia.org/ontology/usingCountry,using country,using country,usingCountry,Currency,Country
http://dbpedia.org/ontology/vicePresident,vice president,vice president,vicePresident,,Person
http://dbpedia.org/ontology/youthWing,youth wing,youth wing,youthWing,PoliticalParty,
http://dbpedia.org/ontology/rebuildDate,rebuild date,rebuild date,rebuildDate,,
http://dbpedia.org/ontology/book,name,name,book,None,None
http://dbpedia.org/ontology/bodyDiscovered,body discovered,body discovered,bodyDiscovered,Person,Place
http://dbpedia.org/ontology/showJudge,showJudge,showJudge,showJudge,TelevisionShow,Person
http://dbpedia.org/ontology/bronzeMedalist,bronze medalist,bronze medalist,bronzeMedalist,SportsEvent,Person
http://dbpedia.org/ontology/curator,curator,curator,curator,Museum,Person
http://dbpedia.org/ontology/formerHighschool,former highschool,former highschool,formerHighschool,NationalCollegiateAthleticAssociationAthlete,EducationalInstitution
http://dbpedia.org/ontology/goldMedalist,gold medalist,gold medalist,goldMedalist,SportsEvent,Person
http://dbpedia.org/ontology/jockey,jockey,jockey,jockey,Horse,Jockey
http://dbpedia.org/ontology/nextEvent,next event,next event,nextEvent,Event,Event
http://dbpedia.org/ontology/silverMedalist,siler medalist,siler medalist,silverMedalist,SportsEvent,Person
http://dbpedia.org/ontology/winsAtLET,wins at LET,wins at LET,winsAtLET,GolfPlayer,
http://dbpedia.org/ontology/viceLeader,vice leader,vice leader,viceLeader,PopulatedPlace,Person
http://dbpedia.org/ontology/riverBranchOf,branch of,branch of,riverBranchOf,River,River
http://dbpedia.org/ontology/winsAtAsia,wins at ASIA,wins at ASIA,winsAtAsia,GolfPlayer,
http://dbpedia.org/ontology/winsAtLPGA,wins at LPGA,wins at LPGA,winsAtLPGA,GolfPlayer,
http://dbpedia.org/ontology/brand,brand,brand,brand,WrestlingEvent,TelevisionShow
http://dbpedia.org/ontology/religiousHead,religious head,religious head,religiousHead,,Person
http://dbpedia.org/ontology/winsAtPGA,wins at pga,wins at pga,winsAtPGA,GolfPlayer,
http://dbpedia.org/ontology/apprehended,apprehended,apprehended,apprehended,Criminal,
http://dbpedia.org/ontology/carNumber,car number,car number,carNumber,FormulaOneRacer,
http://dbpedia.org/ontology/criminalCharge,criminal charge,criminal charge,criminalCharge,Criminal,
http://dbpedia.org/ontology/motive,motive,The motive of the crime(s) this individual is known for.,motive,Criminal,
http://dbpedia.org/ontology/severeCases,Severe Cases,Number of severe cases in a pandemic,severeCases,Outbreak,
http://dbpedia.org/ontology/depth,depth (μ),"Is a measure of the distance between a reference height and a point underneath. The exact meaning for a place is unclear. If possible, use  or  to be unambiguous.",depth,Place,Length
http://dbpedia.org/ontology/iataAirlineCode,IATA code,IATA designation for airline companies,iataAirlineCode,Airline,
http://dbpedia.org/ontology/icaoAirlineCode,ICAO code,ICAO designation for airline companies,icaoAirlineCode,Airline,
http://dbpedia.org/ontology/inn,INN,International Nonproprietary Name given to a pharmaceutical substance,inn,ChemicalCompound,
http://dbpedia.org/ontology/jstor,JSTOR,JSTOR number (short for Journal Storage) is a United States-based online system number for archiving academic journals.,jstor,AcademicJournal,
http://dbpedia.org/ontology/lccn,LCCN,"The Library of Congress Control Number or LCCN is a serially based system of numbering cataloging records in the Library of Congress in the United States. It has nothing to do with the contents of any book, and should not be confused with Library of Congress Classification.",lccn,WrittenWork,
http://dbpedia.org/ontology/officialSchoolColour,official school colour,The official colour of the EducationalInstitution represented by the colour name (e.g.: red or green).,officialSchoolColour,EducationalInstitution,
http://dbpedia.org/ontology/pdb,PDB ID,gene entry for 3D structural data as per the PDB (Protein Data Bank) database,pdb,Protein,
http://dbpedia.org/ontology/eMedicineTopic,eMedicine topic,"Different from eMedicineSubject, which see",eMedicineTopic,Disease,
http://dbpedia.org/ontology/allegiance,allegiance,"The country or other power the person served. Multiple countries may be indicated together with the corresponding dates. This field should not be used to indicate a particular service branch, which is better indicated by the branch field.",allegiance,Person,
http://dbpedia.org/ontology/averageDepth,average depth (μ),Source of the value can be declare by .,averageDepth,Place,Length
http://dbpedia.org/ontology/commonName,common name,"The common name of an entity. Frequently, foaf:name is used for all of the different names of a person; this property just defines the most commonly used name.",commonName,,
http://dbpedia.org/ontology/complexity,complexity,Complexity of preparing a Food (recipe),complexity,Food,
http://dbpedia.org/ontology/countryCode,country code,Country code for telephone numbers.,countryCode,Place,
http://dbpedia.org/ontology/currencyCode,currency code,ISO 4217 currency designators.,currencyCode,Place,
http://dbpedia.org/ontology/electionMajority,election majority,number of votes the office holder attained,electionMajority,,
http://dbpedia.org/ontology/finalFlight,final flight,date of final flight,finalFlight,Rocket,
http://dbpedia.org/ontology/gdpPerCapita,gross domestic product (GDP) per capita,The nominal gross domestic product of a country per capita.,gdpPerCapita,PopulatedPlace,
http://dbpedia.org/ontology/grossDomesticProduct,gross domestic product (GDP),The nominal gross domestic product of a country (not per capita).,grossDomesticProduct,PopulatedPlace,
http://dbpedia.org/ontology/inseeCode,INSEE code,numerical indexing code used by the French National Institute for Statistics and Economic Studies (INSEE) to identify various entities,inseeCode,Settlement,
http://dbpedia.org/ontology/maidenFlight,maiden flight,date of maiden flight,maidenFlight,Rocket,
http://dbpedia.org/ontology/numberOfPiersInWater,number of piers in water,Number of piers standing in a river or other water in normal conditions.,numberOfPiersInWater,Bridge,
http://dbpedia.org/ontology/numberOfVehicles,number of vehicles,Number of vehicles used in the transit system.,numberOfVehicles,PublicTransitSystem,
http://dbpedia.org/ontology/numberOfVisitorsAsOf,number of visitors as of,The year in which number of visitors occurred.,numberOfVisitorsAsOf,HistoricPlace,
http://dbpedia.org/ontology/protein,protein (g),Amount of proteins per servingSize of a Food,protein,Food,Mass
http://dbpedia.org/ontology/reservations,reservations,Are reservations required for the establishment or event?,reservations,Restaurant,
http://dbpedia.org/ontology/voltageOfElectrification,voltage of electrification (V),Voltage of the electrification system.,voltageOfElectrification,RouteOfTransportation,Voltage
http://dbpedia.org/ontology/activeYears,active years,"Also called ""floruit"". Use this if the active years are in one field that can't be split. Else use activeYearsStartYear and activeYearsEndYear",activeYears,Person,
